Facility ,County ,Total 
ARKANSAS VALLEY CORRECTIONAL FACILITY ,Crowley ,"1,059 "
ARROWHEAD CORRECTIONAL CENTER ,Fremont ,513 
BENT COUNTY CORRECTIONAL FACILITY ,Bent ,"1,382 "
BUENA VISTA CORRECTIONAL COMPLEX ,Chaffee ,908 
BUENA VISTA MINIMUM CENTER ,Chaffee ,290 
BUENA VISTA TRANSITIONAL WORK CENTER ,Chaffee ,10 
CENTENNIAL CORRECTIONAL FACILITY ,Fremont ,403 
COLORADO CORRECTIONAL CENTER (CAMP GEORGE WEST) ,Jefferson ,123 
COLORADO STATE PENITENTIARY ,Fremont ,706 
COLORADO TERRITORIAL CORRECTIONAL FACILITY ,Fremont ,910 
CROWLEY COUNTY CORRECTIONAL FACILITY ,Crowley ,"1,786 "
DELTA CORRECTIONAL CENTER ,Delta ,480 
DENVER RECEPTION AND DIAGNOSTIC CENTER ,Denver ,529 
DENVER WOMENS CORRECTIONAL FACILITY ,Denver ,933 
FOUR MILE CORRECTIONAL CENTER ,Fremont ,511 
FREMONT CORRECTIONAL FACILITY ,Fremont ,"1,605 "
LA VISTA CORRECTIONAL FACILITY ,Pueblo ,656 
LIMON CORRECTIONAL FACILITY ,Lincoln ,908 
PAROLE FACILITY CCC ,Denver ,7 
PAROLE FACILITY DWCF ,Denver ,2 
RIFLE CORRECTIONAL CENTER ,Garfield ,194 
SAN CARLOS CORRECTIONAL FACILITY ,Pueblo ,219 
SKYLINE CORRECTIONAL CENTER ,Fremont ,250 
STERLING CORRECTIONAL FACILITY ,Logan ,"2,443 "
TRINIDAD CORRECTIONAL FACILITY ,Las Animas ,498 
YOUTHFUL OFFENDER SYSTEM-PUEBLO ,Pueblo ,181 
