 County,County Name,Tract,Block,Correctional Facility Name,Total Pop Census,Adults +Juveniles GQ,DOCCS Correctional Facility Pop (From address list),DOCCS totals only
31,Essex,960502,3006,Adirondack Correctional Facility,591,591,13,13
73,Orleans,40602,1000,Albion Correctional Facility,419,419,759,759
19,Clinton,104200,4043,Altona Correctional Facility,361,361,370,370
121,Wyoming,970201,1001,Attica Correctional Facility,1863,1863,1874,1874
11,Cayuga,42100,3006,Auburn Correctional Facility,1122,1122,1135,1135
33,Franklin,950502,2009,Bare Hill Correctional Facility,1079,1067,1080,1080
119,Westchester,983000,1002,Bedford Hills Correctional Facility,269,269,644,644
45,Jefferson,60202,2025,Cape Vincent Correctional Facility,697,697,713,713
11,Cayuga,40800,2025,Cayuga Correctional Facility,692,692,808,808
19,Clinton,103512,2003,Clinton Correctional Facility,1746,1746,1750,
19,Clinton,103512,2002,Clinton Correctional Facility,460,460,461,
29,Erie,980300,1003,Collins Correctional Facility,2041,2041,947,947
39,Greene,80800,1005,Coxsackie Correctional Facility,781,781,770,770
27,Dutchess,640001,1001,Downstate Correctional Facility,756,756,772,
27,Dutchess,640001,1000,Downstate Correctional Facility,11,11,11,
111,Ulster,954500,2030,Eastern Correctional Facility,922,922,929,929
61,New York,24301,1002,Edgecombe Correctional Facility,125,68,69,69
15,Chemung,300,1001,Elmira Correctional Facility,1433,1433,1455,1455
27,Dutchess,60100,5000,Fishkill Correctional Facility,1101,1101,1109,
27,Dutchess,640002,1002,Fishkill Correctional Facility,513,513,517,
99,Seneca,950801,1003,Five Points Correctional Facility,991,991,1067,1067
33,Franklin,950502,2014,Franklin Correctional Facility,1125,1125,1124,1124
89,St. Lawrence,492700,7016,Gouverneur Correctional Facility,837,837,857,857
29,Erie,980300,1003,Gowanda Correctional Facility,2041,2041,1125,
29,Erie,980300,1009,Gowanda Correctional Facility,67,49,35,
115,Washington,81002,1006,Great Meadow Correctional Facility,260,260,261,
115,Washington,81002,1005,Great Meadow Correctional Facility,1140,1140,1146,
27,Dutchess,610000,1002,Green Haven Correctional Facility,1788,1788,1805,1805
39,Greene,80800,1001,Greene Correctional Facility,1379,1359,1382,1382
51,Livingston,31000,1005,Groveland Correctional Facility,841,841,821,
51,Livingston,31000,1004,Groveland Correctional Facility,10,--,10,
51,Livingston,31000,1001,Groveland Correctional Facility,24,--,23,
35,Fulton,970601,1004,Hale Creek Correctional Facility,322,322,413,413
21,Columbia,1300,2007,Hudson Correctional Facility,84,84,82,82
13,Chautauqua,36300,1030,Lakeview Correctional Facility,617,617,628,628
65,Oneida,26600,1008,Marcy Correctional Facility,1045,1045,1076,1076
65,Oneida,26600,1004,Midstate Correctional Facility,618,612,805,
65,Oneida,26600,1000,Midstate Correctional Facility,335,335,436,
65,Oneida,26600,1003,Midstate Correctional Facility,110,102,143,
65,Oneida,25900,1009,Mohawk Correctional Facility,1294,1282,1293,1293
31,Essex,961002,3016,Moriah Correctional Facility,183,183,183,183
89,St. Lawrence,491400,4016,Ogdensburg Correctional Facility,169,169,361,361
73,Orleans,40602,1001,Orleans Correctional Facility,817,817,609,
73,Orleans,40602,1002,Orleans Correctional Facility,220,220,164,
71,Orange,11500,1001,Otisville Correctional Facility,583,583,584,584
81,Queens,19901,2004,Queensboro Correctional Facility,186,186,172,172
89,St. Lawrence,491400,4029,Riverview Correctional Facility,578,578,691,691
55,Monroe,9500,2015,Rochester Correctional Facility,35,35,29,29
111,Ulster,955400,2002,Shawangunk Correctional Facility,496,496,483,483
119,Westchester,982000,1003,Sing Sing Correctional Facility,1367,1357,1361,1361
15,Chemung,11200,6002,Southport Correctional Facility,438,438,434,434
105,Sullivan,951100,2019,Sullivan Correctional Facility,21,21,20,
105,Sullivan,951100,2020,Sullivan Correctional Facility,484,466,454,
119,Westchester,983000,1005,Taconic Correctional Facility,769,638,270,270
111,Ulster,954500,2034,Ulster Correctional Facility,490,490,494,494
33,Franklin,950502,2010,Upstate Correctional Facility,586,586,584,584
111,Ulster,955400,2023,Wallkill Correctional Facility,568,568,566,566
115,Washington,81002,3005,Washington Correctional Facility,747,728,738,738
45,Jefferson,62400,3057,Watertown Correctional Facility,367,367,385,385
29,Erie,980400,1001,Wende Correctional Facility,80,80,81,
29,Erie,980400,1007,Wende Correctional Facility,636,636,646,
99,Seneca,950900,1008,Willard Correctional Facility,567,526,532,532
105,Sullivan,951100,2012,Woodbourne Correctional Facility,763,763,768,768
121,Wyoming,970201,1000,Wyoming Correctional Facility,227,227,1165,1165
