FILEID,STUSAB,GEOCODE,COUNTY,TRACT,BLKGRP,BLOCK,AREALAND,NAME,INTPTLAT,INTPTLON,P0010001,P0020001,P0030001,P0050001,P0050003,P0050004,State,Proposed 2022_SD,County,Tract,BlockGroup,Block,Adj_Population,dif_pop,adjpop
PLST,DE,100010401001000,1,40100,1,1000,748145,Block 1000,39.2349454,-75.6411354,108,108,83,0,0,0,10,15,10001,10001040100,100010401001,100010401001000,109,1,109
PLST,DE,100010401001001,1,40100,1,1001,1002562,Block 1001,39.2311434,-75.6530463,44,44,33,0,0,0,10,15,10001,10001040100,100010401001,100010401001001,44,0,44
PLST,DE,100010401001002,1,40100,1,1002,3607081,Block 1002,39.2397861,-75.6671607,74,74,58,0,0,0,10,15,10001,10001040100,100010401001,100010401001002,74,0,74
PLST,DE,100010401001003,1,40100,1,1003,1960053,Block 1003,39.2371997,-75.687332,60,60,53,0,0,0,10,15,10001,10001040100,100010401001,100010401001003,60,0,60
PLST,DE,100010401001004,1,40100,1,1004,2668506,Block 1004,39.2318233,-75.7086493,12,12,9,0,0,0,10,15,10001,10001040100,100010401001,100010401001004,12,0,12
PLST,DE,100010401001005,1,40100,1,1005,1530016,Block 1005,39.2448515,-75.7250763,7,7,2,0,0,0,10,15,10001,10001040100,100010401001,100010401001005,7,0,7
PLST,DE,100010401001006,1,40100,1,1006,894289,Block 1006,39.2541324,-75.7381644,19,19,16,0,0,0,10,15,10001,10001040100,100010401001,100010401001006,19,0,19
PLST,DE,100010401001007,1,40100,1,1007,678303,Block 1007,39.2528794,-75.7445708,34,34,31,0,0,0,10,15,10001,10001040100,100010401001,100010401001007,34,0,34
PLST,DE,100010401001008,1,40100,1,1008,1204582,Block 1008,39.2538994,-75.7514098,0,0,0,0,0,0,10,15,10001,10001040100,100010401001,100010401001008,0,0,0
PLST,DE,100010401001009,1,40100,1,1009,1490230,Block 1009,39.2376172,-75.7506066,56,56,39,0,0,0,10,15,10001,10001040100,100010401001,100010401001009,56,0,56
PLST,DE,100010401001010,1,40100,1,1010,2537827,Block 1010,39.2384682,-75.7335192,129,129,106,0,0,0,10,15,10001,10001040100,100010401001,100010401001010,129,0,129
PLST,DE,100010401001011,1,40100,1,1011,710600,Block 1011,39.2407727,-75.7441759,14,14,14,0,0,0,10,15,10001,10001040100,100010401001,100010401001011,14,0,14
PLST,DE,100010401001012,1,40100,1,1012,2512512,Block 1012,39.219399,-75.7472703,55,55,37,0,0,0,10,15,10001,10001040100,100010401001,100010401001012,55,0,55
PLST,DE,100010401001013,1,40100,1,1013,25968,Block 1013,39.2293745,-75.7542029,7,7,7,0,0,0,10,15,10001,10001040100,100010401001,100010401001013,7,0,7
PLST,DE,100010401001014,1,40100,1,1014,1510595,Block 1014,39.2097966,-75.7355617,61,61,47,0,0,0,10,15,10001,10001040100,100010401001,100010401001014,61,0,61
PLST,DE,100010401001015,1,40100,1,1015,1796544,Block 1015,39.2184307,-75.7298627,102,102,82,0,0,0,10,15,10001,10001040100,100010401001,100010401001015,102,0,102
