STFID,COUNTY_x,CBT_x,CD_x,SD_x,MUNICIPALITY_x,MCD_x,FIPS_x,FIPS_MCD_x,VTD_x,PL_VTD_x,P0010001_x,P0030001_x,COUNTY_y,CBT_y,CD_y,SD_y,MUNICIPALITY_y,MCD_y,FIPS_y,FIPS_MCD_y,VTD_y,PL_VTD_y,P0010001_y,P0030001_y,dif_pop,adjpop
420010010,1,6,13,33,ABBOTTSTOWN,5,1,116,0010,10,1022,744,1,6,13,33,ABBOTTSTOWN,5,1,116,0010,10,1025,747,3,1025
420010020,1,6,13,33,ARENDTSVILLE,10,1,2928,0020,20,867,634,1,6,13,33,ARENDTSVILLE,10,1,2928,0020,20,870,637,3,870
420010030,1,6,13,33,BENDERSVILLE,15,1,5536,0030,30,736,519,1,6,13,33,BENDERSVILLE,15,1,5536,0030,30,737,520,1,737
420010040,1,4,13,33,BERWICK,20,1,5880,0040,40,2403,1971,1,4,13,33,BERWICK,20,1,5880,0040,40,2409,1977,6,2409
420010050,1,6,13,33,BIGLERVILLE,25,1,6296,0050,50,1225,926,1,6,13,33,BIGLERVILLE,25,1,6296,0050,50,1228,929,3,1228
420010060,1,6,13,33,BONNEAUVILLE,27,1,7560,0060,60,1758,1334,1,6,13,33,BONNEAUVILLE,27,1,7560,0060,60,1763,1339,5,1763
420010070,1,4,13,33,BUTLER,30,1,10456,0070,70,2550,2084,1,4,13,33,BUTLER,30,1,10456,0070,70,2555,2089,5,2555
420010078,1,6,13,33,CARROLL VALLEY,33,1,11472,0078,78,2129,1698,1,6,13,33,CARROLL VALLEY,33,1,11472,0078,78,2131,1700,2,2131
420010082,1,6,13,33,CARROLL VALLEY,33,1,11472,0082,82,1811,1456,1,6,13,33,CARROLL VALLEY,33,1,11472,0082,82,1815,1460,4,1815
420010090,1,4,13,33,CONEWAGO,35,1,15632,0090,90,3555,2928,1,4,13,33,CONEWAGO,35,1,15632,0090,90,3561,2934,6,3561
420010100,1,4,13,33,CONEWAGO,35,1,15632,0100,100,4320,3264,1,4,13,33,CONEWAGO,35,1,15632,0100,100,4325,3269,5,4325
420010110,1,4,13,33,CUMBERLAND,40,1,17640,0110,110,2147,1701,1,4,13,33,CUMBERLAND,40,1,17640,0110,110,2152,1706,5,2152
420010120,1,4,13,33,CUMBERLAND,40,1,17640,0120,120,1417,1171,1,4,13,33,CUMBERLAND,40,1,17640,0120,120,1419,1173,2,1419
420010130,1,4,13,33,CUMBERLAND,40,1,17640,0130,130,1898,1609,1,4,13,33,CUMBERLAND,40,1,17640,0130,130,1899,1610,1,1899
420010140,1,4,13,33,CUMBERLAND,40,1,17640,0140,140,1571,1319,1,4,13,33,CUMBERLAND,40,1,17640,0140,140,1573,1321,2,1573
420010150,1,6,13,33,EAST BERLIN,45,1,20792,0150,150,1542,1181,1,6,13,33,EAST BERLIN,45,1,20792,0150,150,1544,1183,2,1544
420010160,1,6,13,33,FAIRFIELD,50,1,24560,0160,160,526,429,1,6,13,33,FAIRFIELD,50,1,24560,0160,160,526,429,0,526
420010170,1,4,13,33,FRANKLIN,55,1,27320,0170,170,2358,1910,1,4,13,33,FRANKLIN,55,1,27320,0170,170,2362,1914,4,2362
420010180,1,4,13,33,FRANKLIN,55,1,27320,0180,180,2318,1917,1,4,13,33,FRANKLIN,55,1,27320,0180,180,2328,1927,10,2328
420010190,1,4,13,33,FREEDOM,60,1,27704,0190,190,825,702,1,4,13,33,FREEDOM,60,1,27704,0190,190,825,702,0,825
420010200,1,4,13,33,GERMANY,65,1,28936,0200,200,2844,2290,1,4,13,33,GERMANY,65,1,28936,0200,200,2847,2293,3,2847
420010210,1,6,13,33,GETTYSBURG,70,1,28960,0210,210,2225,1854,1,6,13,33,GETTYSBURG,70,1,28960,0210,210,2232,1861,7,2232
420010230,1,6,13,33,GETTYSBURG,70,1,28960,0230,230,3192,2993,1,6,13,33,GETTYSBURG,70,1,28960,0230,230,3195,2996,3,3195
420010240,1,6,13,33,GETTYSBURG,70,1,28960,0240,240,1689,1339,1,6,13,33,GETTYSBURG,70,1,28960,0240,240,1696,1346,7,1696
420010260,1,4,13,33,HAMILTON,77,1,32144,0260,260,2714,2114,1,4,13,33,HAMILTON,77,1,32144,0260,260,2717,2117,3,2717
420010270,1,4,13,33,HAMILTONBAN,80,1,32200,0270,270,2300,1891,1,4,13,33,HAMILTONBAN,80,1,32200,0270,270,2305,1896,5,2305
420010280,1,4,13,33,HIGHLAND,85,1,34424,0280,280,997,809,1,4,13,33,HIGHLAND,85,1,34424,0280,280,997,809,0,997
420010290,1,4,13,33,HUNTINGTON,90,1,36424,0290,290,2395,1849,1,4,13,33,HUNTINGTON,90,1,36424,0290,290,2396,1850,1,2396
420010310,1,4,13,33,LATIMORE,95,1,41672,0310,310,2646,2069,1,4,13,33,LATIMORE,95,1,41672,0310,310,2649,2072,3,2649
420010320,1,4,13,33,LIBERTY,100,1,43056,0320,320,1376,1107,1,4,13,33,LIBERTY,100,1,43056,0320,320,1376,1107,0,1376
420010330,1,6,13,33,LITTLESTOWN,105,1,43944,0330,330,2470,1875,1,6,13,33,LITTLESTOWN,105,1,43944,0330,330,2477,1882,7,2477
420010340,1,6,13,33,LITTLESTOWN,105,1,43944,0340,340,2312,1818,1,6,13,33,LITTLESTOWN,105,1,43944,0340,340,2314,1820,2,2314
420010350,1,6,13,33,MCSHERRYSTOWN,110,1,46376,0350,350,1808,1388,1,6,13,33,MCSHERRYSTOWN,110,1,46376,0350,350,1810,1390,2,1810
420010360,1,6,13,33,MCSHERRYSTOWN,110,1,46376,0360,360,1269,967,1,6,13,33,MCSHERRYSTOWN,110,1,46376,0360,360,1270,968,1,1270
420010370,1,4,13,33,MENALLEN,115,1,48608,0370,370,3701,2835,1,4,13,33,MENALLEN,115,1,48608,0370,370,3705,2839,4,3705
420010380,1,4,13,33,MOUNT JOY,120,1,51640,0380,380,1834,1497,1,4,13,33,MOUNT JOY,120,1,51640,0380,380,1839,1502,5,1839
420010385,1,4,13,33,MOUNT JOY,120,1,51640,0385,385,1955,1614,1,4,13,33,MOUNT JOY,120,1,51640,0385,385,1959,1618,4,1959
420010390,1,4,13,33,MOUNT PLEASANT,125,1,51776,0390,390,2622,2131,1,4,13,33,MOUNT PLEASANT,125,1,51776,0390,390,2626,2135,4,2626
420010400,1,4,13,33,MOUNT PLEASANT,125,1,51776,0400,400,2044,1599,1,4,13,33,MOUNT PLEASANT,125,1,51776,0400,400,2047,1602,3,2047
420010410,1,6,13,33,NEW OXFORD,130,1,53920,0410,410,1868,1389,1,6,13,33,NEW OXFORD,130,1,53920,0410,410,1871,1392,3,1871
